Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,GyroX_corr,MagnX_corr,AccY_corr,GyroY_corr,MagnY_corr,AccZ_corr,GyroZ_corr,MagnZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt,Yaw_deg,Pitch_deg,Roll_deg,KneeAngle_fused_deg,KneeAngle_filt_deg,KneeValgus_fused_deg,KneeValgus_filt_deg
,-9.024,-1.534,-3.343,-9.215,-1.192,-3.333,6.02,4.34,0.84,0.5072596153846156,0.3148076923076921,3.385711538461538,-1.9105057692307694,-1.565778846153846,2.931653846153846,-0.6411423076923075,-0.6323019230769238,0.09598076923076926,2.078077975047428,1.717723202418172,2.1272463773606596,2.0412084329363376,82.99323425428828,-55.75390194145801,-118.71759473488703,54.98753149118295,54.96503512047521,-124.5405304353389,-124.57756658550933
,-9.115,-1.692,-3.065,-9.203,-1.067,-3.546,7.7,5.18,0.91,0.41625961538461453,0.3268076923076926,5.065711538461539,-2.0685057692307693,-1.440778846153846,3.771653846153846,-0.3631423076923075,-0.8453019230769234,0.16598076923076932,2.140995217270982,1.702111128109276,2.1505973531868774,2.0447750461045158,83.04746010108286,-55.81684141955015,-118.70512162256843,55.05047096927509,55.00870167299883,-124.52805732302029,-124.50352919605666
59212.0,-9.172,-1.177,-3.731,-9.234,-1.993,-2.788,1.82,2.87,-0.98,0.35925961538461415,0.295807692307692,-0.8142884615384614,-1.5535057692307692,-2.366778846153846,1.4616538461538462,-1.0291423076923074,-0.08730192307692342,-1.7240192307692306,1.8977833216049278,2.3867898783099157,2.1666363231011725,2.050334486137091,82.96772213715118,-55.83397315900203,-118.58891501923145,55.067602708726966,55.052689349953354,-124.41185071968331,-124.43027114544574
,-9.086,-1.318,-3.759,-9.466,-1.764,-2.654,-0.42,2.73,-1.12,0.44525961538461445,0.06380769230769268,-3.0542884615384613,-1.6945057692307692,-2.137778846153846,1.321653846153846,-1.0571423076923074,0.04669807692307648,-1.8640192307692307,2.0462540863152436,2.139240642622708,2.1758117648652795,2.062962782270284,82.89012719082062,-55.85663840949299,-118.47590557961131,55.090267959217925,55.09693511792654,-124.29884128006317,-124.35859200944444
,-9.005,-1.615,-3.537,-9.603,-1.335,-3.096,-1.33,3.22,-0.77,0.526259615384614,-0.07319230769230778,-3.9642884615384615,-1.9915057692307694,-1.7087788461538462,1.8116538461538463,-0.8351423076923075,-0.3953019230769237,-1.5140192307692306,2.2227251484971853,1.755433242637415,2.1864134246326907,2.0687337461540576,82.87478247396912,-55.90769617666334,-118.40998928653548,55.14132572638828,55.14150799419488,-124.23292498698734,-124.28763081311816
,-9.012,-1.984,-3.139,-9.27,-1.22,-3.503,0.7,3.99,-0.35,0.5192596153846143,0.2598076923076924,-1.9342884615384615,-2.360505769230769,-1.593778846153846,2.5816538461538463,-0.43714230769230733,-0.8023019230769237,-1.0940192307692307,2.4561578597304528,1.8031415427532758,2.188226828864796,2.07021545258021,82.92831841132683,-55.97029027257485,-118.3979923519048,55.20391982229979,55.18748858779422,-124.22092805235667,-124.21831870818666
59288.0,-9.021,-1.543,-3.64,-9.292,-1.608,-3.254,-0.98,3.85,-0.21,0.510259615384614,0.23780769230769216,-3.6142884615384614,-1.9195057692307693,-1.9817788461538464,2.441653846153846,-0.9381423076923077,-0.5533019230769236,-0.9540192307692307,2.1965833156711607,2.0712660166343198,2.1938433253705316,2.0688175773100066,82.89425261089501,-56.01523530723566,-118.31497872491752,55.2488648569606,55.23467342593195,-124.13791442536939,-124.15082264519887
,-8.923,-1.79,-3.647,-9.32,-1.517,-3.4,-0.63,4.41,-0.07,0.6082596153846147,0.2098076923076917,-3.2642884615384613,-2.166505769230769,-1.8907788461538462,3.0016538461538462,-0.9451423076923073,-0.6993019230769235,-0.8140192307692307,2.440700921786196,2.026841654504227,2.192489183571759,2.0719207665037556,82.8768385249459,-56.06740812099262,-118.24538725370995,55.301037670717555,55.28241275189336,-124.06832295416181,-124.08447260818716
,-9.012,-1.866,-3.573,-9.17,-1.429,-3.649,2.1,4.97,0.0,0.5192596153846143,0.35980769230769205,-0.5342884615384613,-2.2425057692307693,-1.802778846153846,3.561653846153846,-0.8711423076923075,-0.9483019230769236,-0.7440192307692307,2.461168745424446,2.0685138822098756,2.192758716228887,2.0742544412267736,82.87713582164882,-56.12352300105811,-118.18785912968542,55.35715255078305,55.33020231488943,-124.01079483013729,-124.0169458227409
,-9.11,-1.788,-3.34,-9.036,-1.462,-3.817,4.13,5.46,0.35,0.4212596153846153,0.4938076923076924,1.4957115384615385,-2.1645057692307694,-1.835778846153846,4.051653846153846,-0.6381423076923074,-1.1163019230769238,-0.39401923076923073,2.2955980687947406,2.2045543750230867,2.1949838162997577,2.0745289969571896,82.90760970680482,-56.18409390128818,-118.15361399897316,55.41772345101312,55.3780433670864,-123.97654969942502,-123.9484924139293
59363.0,-8.997,-1.601,-3.879,-9.244,-1.517,-3.759,3.71,4.62,0.84,0.5342596153846149,0.2858076923076922,1.0757115384615386,-1.9775057692307692,-1.8907788461538462,3.211653846153846,-1.1771423076923075,-1.0583019230769235,0.09598076923076926,2.362546595631727,2.1855739846624807,2.196619122262236,2.0808885313898546,82.8402088406175,-56.22113435744964,-118.04646042126201,55.45476390717458,55.425882113606846,-123.86939612171388,-123.87923685717683
,-9.1,-1.78,-3.915,-9.153,-1.505,-3.628,5.11,4.69,1.12,0.4312596153846151,0.3768076923076915,2.475711538461539,-2.1565057692307694,-1.8787788461538462,3.2816538461538465,-1.2131423076923076,-0.9273019230769237,0.3759807692307694,2.5116162619517133,2.1287749637478326,2.1936426089110586,2.0959012803471184,82.78688612586424,-56.25892785387246,-117.94733493557641,55.492557403597395,55.47358020093933,-123.77027063602827,-123.80872566726576
,-9.112,-1.756,-3.922,-9.17,-1.505,-3.568,6.51,4.06,1.19,0.41925961538461465,0.35980769230769205,3.8757115384615384,-2.1325057692307694,-1.8787788461538462,2.6516538461538457,-1.2201423076923077,-0.8673019230769237,0.44598076923076924,2.4924098242294908,2.1003533402672736,2.2072044596859928,2.1079659043758356,82.73011962041438,-56.29484991734135,-117.8458409372481,55.52847946706629,55.52199046113253,-123.66877663769996,-123.73944052737107
,-9.124,-1.723,-3.702,-9.15,-1.601,-3.649,7.77,3.64,1.26,0.4072596153846142,0.3798076923076916,5.135711538461538,-2.0995057692307695,-1.9747788461538462,2.231653846153846,-1.0001423076923075,-0.9483019230769236,0.5159807692307693,2.3609467391266166,2.223349255439685,2.214214328879396,2.124509177438248,82.70453903549273,-56.341165438752675,-117.76751761676574,55.57479498847761,55.57042792926411,-123.59045331721761,-123.67040609981144
59439.0,-9.086,-1.709,-3.475,-9.115,-1.452,-3.69,5.25,3.15,1.47,0.44525961538461445,0.41480769230769177,2.6157115384615386,-2.0855057692307692,-1.8257788461538462,1.741653846153846,-0.7731423076923076,-0.9893019230769236,0.7259807692307693,2.268334072955539,2.117605277586973,2.216800002961964,2.1409932358905275,82.70939435552368,-56.397734344163226,-117.7133312110257,55.631363893888164,55.61840801761279,-123.53626691147757,-123.59995815453723
,-9.172,-1.713,-3.424,-9.11,-1.606,-3.659,6.65,3.22,1.54,0.35925961538461415,0.41980769230769255,4.015711538461539,-2.0895057692307692,-1.9797788461538461,1.8116538461538463,-0.7221423076923075,-0.9583019230769234,0.7959807692307693,2.239774842133499,2.239219809212998,2.213078657465253,2.1600878827183743,82.72459180865992,-56.452899383794616,-117.66713216083349,55.686528933519554,55.66580056879999,-123.49006786128535,-123.52719074130272
