Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
620298,0.26322,0.62216,9.882710,0.420000,-4.340000,1.190000
620308,0.93323,0.100502,9.865960,0.490000,-4.270000,1.190000
620318,0.38287,0.62216,9.863567,0.490000,-4.340000,1.330000
620328,0.71787,0.71787,9.877925,0.490000,-4.480000,1.260000
620338,0.71787,0.57430,9.885103,0.490000,-4.480000,1.190000
620348,0.52644,0.45465,9.853995,0.490000,-4.410000,1.120000
620359,0.114860,0.83752,9.868353,0.490000,-4.340000,1.190000
620369,0.86145,0.76573,9.877925,0.490000,-4.550000,1.330000
620379,0.55037,0.98109,9.880318,0.420000,-4.480000,1.260000
620389,0.50251,0.71787,9.882710,0.420000,-4.620000,1.190000
620399,0.50251,0.131610,9.904246,0.350000,-4.480000,1.190000
620409,0.59823,0.40679,9.875532,0.420000,-4.410000,1.120000
620419,0.69394,0.114860,9.844424,0.490000,-4.340000,1.190000
620429,0.78966,0.76573,9.882710,0.420000,-4.410000,1.120000
620440,0.90931,0.64609,9.873138,0.420000,-4.410000,1.190000
620450,0.93323,0.76573,9.870746,0.420000,-4.410000,1.120000
620460,0.64609,0.69394,9.904246,0.490000,-4.410000,1.120000
620470,0.67001,0.52644,9.894675,0.490000,-4.410000,1.260000
620480,0.38287,0.57430,9.880318,0.490000,-4.410000,1.120000
620490,0.50251,0.64609,9.894675,0.420000,-4.550000,1.190000
620500,0.21536,0.86145,9.918604,0.420000,-4.480000,1.330000
620510,0.67001,0.86145,9.892282,0.560000,-4.410000,1.190000
620521,0.59823,0.98109,9.882710,0.420000,-4.200000,1.120000
620531,0.52644,0.81359,9.885103,0.420000,-4.340000,1.190000
620541,0.47858,0.74180,9.892282,0.490000,-4.270000,1.190000
620551,0.76573,0.55037,9.858782,0.490000,-4.60000,1.190000
620561,0.93323,0.47858,9.863567,0.560000,-4.200000,1.190000
620571,0.83752,0.102895,9.868353,0.560000,-4.550000,1.330000
620581,0.33501,0.78966,9.882710,0.490000,-4.340000,1.260000
620591,0.74180,0.78966,9.885103,0.490000,-4.340000,1.190000
620602,0.78966,0.47858,9.875532,0.420000,-4.550000,1.190000
620612,0.62216,0.38287,9.899461,0.630000,-4.480000,1.120000
620622,0.52644,0.67001,9.904246,0.560000,-4.410000,1.190000
620632,0.47858,0.67001,9.863567,0.560000,-4.410000,1.190000
620642,0.33501,0.78966,9.870746,0.490000,-4.410000,1.260000
620652,0.52644,0.86145,9.858782,0.490000,-4.480000,1.190000
620662,0.69394,0.83752,9.877925,0.490000,-4.480000,1.120000
620672,0.40679,0.112467,9.849210,0.420000,-4.480000,1.260000
620683,0.50251,0.98109,9.863567,0.350000,-4.410000,1.120000
620693,0.38287,0.100502,9.865960,0.420000,-4.340000,1.260000
620703,0.88538,0.59823,9.894675,0.420000,-4.340000,1.190000
620713,0.78966,0.90931,9.873138,0.490000,-4.270000,1.190000
620723,0.74180,0.69394,9.856388,0.490000,-4.340000,1.260000
620733,0.81359,0.69394,9.899461,0.420000,-4.410000,1.260000
620743,0.57430,0.95716,9.904246,0.420000,-4.340000,1.260000
620753,0.62216,0.81359,9.897068,0.560000,-4.410000,1.260000
620764,0.88538,0.105288,9.870746,0.490000,-4.410000,1.260000
620774,0.78966,0.71787,9.911426,0.560000,-4.410000,1.190000
620784,0.62216,0.105288,9.849210,0.420000,-4.410000,1.120000
620794,0.88538,0.64609,9.882710,0.490000,-4.410000,1.120000
620804,0.67001,0.90931,9.892282,0.350000,-4.270000,1.190000
620814,0.100502,0.83752,9.889889,0.420000,-4.410000,1.120000
620824,0.33501,0.93323,9.858782,0.490000,-4.410000,1.120000
620834,0.76573,0.74180,9.870746,0.490000,-4.410000,1.120000
620845,0.52644,0.57430,9.892282,0.560000,-4.270000,1.190000
620855,0.74180,0.71787,9.880318,0.420000,-4.200000,1.190000
620865,0.71787,0.71787,9.882710,0.560000,-4.270000,1.190000
620875,0.50251,0.67001,9.846817,0.490000,-4.550000,1.190000
620885,0.67001,0.88538,9.853995,0.420000,-4.480000,1.330000
620895,0.52644,0.76573,9.887496,0.490000,-4.410000,1.260000
620905,0.57430,0.117252,9.877925,0.490000,-4.340000,1.260000
620915,0.57430,0.59823,9.863567,0.560000,-4.410000,1.190000
620926,0.69394,0.62216,9.899461,0.490000,-4.340000,1.120000
620936,0.50251,0.59823,9.880318,0.490000,-4.270000,1.120000
620946,0.64609,0.74180,9.827674,0.420000,-4.340000,1.190000
620956,0.16750,0.52644,9.887496,0.490000,-4.480000,1.190000
620966,0.74180,0.67001,9.877925,0.420000,-4.410000,1.260000
620976,0.38287,0.81359,9.856388,0.630000,-4.410000,1.190000
620986,0.57430,0.100502,9.923389,0.560000,-4.480000,1.190000
620996,0.57430,0.86145,9.904246,0.560000,-4.410000,1.190000
621007,0.47858,0.98109,9.865960,0.490000,-4.410000,1.260000
621017,0.71787,0.105288,9.865960,0.420000,-4.480000,1.190000
621027,0.114860,0.62216,9.909033,0.490000,-4.340000,1.260000
621037,0.88538,0.71787,9.877925,0.490000,-4.550000,1.260000
621047,0.81359,0.64609,9.839638,0.490000,-4.410000,1.190000
621057,0.59823,0.71787,9.885103,0.560000,-4.410000,1.190000
621067,0.69394,0.93323,9.868353,0.490000,-4.340000,1.260000
621077,0.78966,0.35894,9.849210,0.420000,-4.410000,1.190000
621088,0.57430,0.110074,9.882710,0.490000,-4.410000,1.190000
621098,0.59823,0.81359,9.865960,0.490000,-4.480000,1.190000
621108,0.83752,0.93323,9.837245,0.490000,-4.340000,1.260000
621118,0.105288,0.78966,9.894675,0.420000,-4.480000,1.190000
621128,0.50251,0.57430,9.861175,0.560000,-4.340000,1.190000
621138,0.71787,0.45465,9.935354,0.420000,-4.410000,1.190000
621148,0.100502,0.90931,9.880318,0.420000,-4.410000,1.190000
621158,0.69394,0.78966,9.889889,0.560000,-4.340000,1.190000
621169,0.81359,0.95716,9.889889,0.560000,-4.270000,1.260000
621179,0.71787,0.100502,9.885103,0.490000,-4.340000,1.260000
621189,0.50251,0.86145,9.889889,0.420000,-4.410000,1.190000
621199,0.57430,0.52644,9.880318,0.420000,-4.410000,1.190000
621209,0.102895,0.90931,9.873138,0.490000,-4.340000,1.190000
621219,0.67001,0.81359,9.901854,0.560000,-4.410000,1.190000
621229,0.88538,0.93323,9.858782,0.490000,-4.270000,1.190000
621239,0.64609,0.105288,9.849210,0.420000,-4.550000,1.190000
621250,0.64609,0.64609,9.904246,0.490000,-4.340000,1.190000
621260,0.67001,0.112467,9.865960,0.490000,-4.340000,1.260000
621270,0.47858,0.64609,9.880318,0.490000,-4.340000,1.190000
621280,0.69394,0.67001,9.928176,0.490000,-4.410000,1.120000
621290,0.95716,0.45465,9.873138,0.490000,-4.410000,1.260000
621300,0.88538,0.74180,9.839638,0.560000,-4.340000,1.190000
621310,0.78966,0.83752,9.882710,0.490000,-4.340000,1.120000
621320,0.59823,0.78966,9.856388,0.420000,-4.340000,1.120000
621332,0.64609,0.59823,9.911426,0.490000,-4.200000,1.190000
621342,0.69394,0.88538,9.861175,0.560000,-4.480000,1.260000
621352,0.76573,0.62216,9.839638,0.350000,-4.340000,1.120000
621362,0.69394,0.67001,9.875532,0.560000,-4.340000,1.120000
621373,0.78966,0.95716,9.865960,0.490000,-4.410000,1.190000
621383,0.93323,0.86145,9.877925,0.490000,-4.340000,1.190000
621393,0.74180,0.81359,9.897068,0.420000,-4.270000,1.190000
621403,0.67001,0.52644,9.865960,0.420000,-4.340000,1.260000
621413,0.76573,0.69394,9.901854,0.420000,-4.340000,1.260000
621423,0.86145,0.47858,9.882710,0.420000,-4.340000,1.190000
621433,0.74180,0.105288,9.863567,0.350000,-4.410000,1.190000
621443,0.55037,0.74180,9.906639,0.560000,-4.410000,1.190000
621453,0.88538,0.95716,9.880318,0.490000,-4.340000,1.190000
621463,0.71787,0.67001,9.899461,0.490000,-4.340000,1.190000
621473,0.35894,0.90931,9.913818,0.560000,-4.410000,1.330000
621483,0.59823,0.90931,9.873138,0.420000,-4.340000,1.260000
621494,0.59823,0.55037,9.858782,0.350000,-4.340000,1.260000
621504,0.107681,0.71787,9.894675,0.420000,-4.340000,1.190000
621514,0.93323,0.78966,9.901854,0.420000,-4.410000,1.190000
621524,0.76573,0.59823,9.858782,0.420000,-4.480000,1.190000
621534,0.74180,0.64609,9.889889,0.420000,-4.410000,1.190000
621544,0.95716,0.35894,9.909033,0.420000,-4.410000,1.190000
621554,0.28715,0.45465,9.844424,0.490000,-4.410000,1.260000
621564,0.93323,0.81359,9.899461,0.560000,-4.480000,1.260000
621575,0.100502,0.90931,9.839638,0.560000,-4.340000,1.120000
621585,0.40679,0.62216,9.870746,0.560000,-4.620000,1.190000
621595,0.110074,0.71787,9.858782,0.560000,-4.620000,1.190000
621605,0.31108,0.74180,9.827674,0.350000,-4.620000,1.190000
621615,0.95716,0.88538,9.906639,0.420000,-4.410000,1.190000
621625,0.45465,0.81359,9.875532,0.490000,-4.480000,1.190000
621635,0.88538,0.57430,9.861175,0.560000,-4.200000,1.260000
621645,0.57430,0.76573,9.904246,0.490000,-4.410000,1.260000
621656,0.90931,0.62216,9.851603,0.420000,-4.550000,1.190000
621666,0.88538,0.78966,9.875532,0.420000,-4.550000,1.190000
621676,0.78966,0.55037,9.870746,0.560000,-4.480000,1.260000
621686,0.26322,0.64609,9.887496,0.420000,-4.410000,1.120000
621696,0.81359,0.69394,9.882710,0.420000,-4.270000,1.190000
621706,0.35894,0.55037,9.911426,0.350000,-4.270000,1.260000
621716,0.88538,0.83752,9.853995,0.420000,-4.340000,1.190000
621726,0.52644,0.62216,9.885103,0.490000,-4.480000,1.260000
621737,0.59823,0.71787,9.909033,0.490000,-4.480000,1.190000
621747,0.59823,0.57430,9.889889,0.560000,-4.340000,1.330000
621757,0.57430,0.62216,9.899461,0.490000,-4.200000,1.260000
621767,0.81359,0.81359,9.842031,0.420000,-4.270000,1.190000
621777,0.55037,0.43072,9.885103,0.420000,-4.340000,1.190000
621787,0.38287,0.62216,9.887496,0.490000,-4.410000,1.190000
621797,0.35894,0.57430,9.901854,0.490000,-4.270000,1.260000
621807,0.26322,0.81359,9.877925,0.420000,-4.480000,1.190000
621818,0.88538,0.86145,9.865960,0.490000,-4.410000,1.120000
621828,0.55037,0.90931,9.858782,0.490000,-4.270000,1.50000
621838,0.69394,0.95716,9.899461,0.420000,-4.60000,1.190000
621848,0.47858,0.59823,9.928176,0.350000,-4.550000,1.190000
621858,0.59823,0.71787,9.889889,0.350000,-4.620000,1.260000
621868,0.102895,0.57430,9.880318,0.490000,-4.550000,1.190000
621878,0.78966,0.105288,9.925783,0.490000,-4.410000,1.190000
621888,0.43072,0.102895,9.856388,0.560000,-4.340000,1.190000
621899,0.88538,0.98109,9.882710,0.560000,-4.270000,1.260000
621909,0.69394,0.86145,9.844424,0.490000,-4.270000,1.260000
621919,0.59823,0.69394,9.880318,0.490000,-4.340000,1.190000
621929,0.83752,0.71787,9.882710,0.490000,-4.410000,1.260000
621939,0.76573,0.52644,9.909033,0.490000,-4.340000,1.190000
621949,0.59823,0.67001,9.880318,0.420000,-4.410000,1.260000
621959,0.83752,0.102895,9.892282,0.560000,-4.200000,1.190000
621969,0.81359,0.71787,9.894675,0.490000,-4.410000,1.260000
621980,0.71787,0.76573,9.880318,0.490000,-4.340000,1.260000
621990,0.50251,0.86145,9.858782,0.490000,-4.270000,1.190000
622000,0.38287,0.28715,9.887496,0.630000,-4.340000,1.190000
622010,0.35894,0.110074,9.873138,0.560000,-4.480000,1.330000
622020,0.86145,0.74180,9.882710,0.420000,-4.480000,1.330000
622030,0.71787,0.126824,9.882710,0.560000,-4.410000,1.190000
622040,0.100502,0.74180,9.880318,0.560000,-4.340000,1.190000
622050,0.81359,0.69394,9.889889,0.630000,-4.480000,1.120000
622061,0.43072,0.52644,9.868353,0.630000,-4.480000,1.260000
622071,0.78966,0.64609,9.899461,0.560000,-4.480000,1.330000
622081,0.78966,0.67001,9.873138,0.560000,-4.270000,1.120000
622091,0.76573,0.90931,9.868353,0.560000,-4.200000,1.190000
622101,0.55037,0.86145,9.897068,0.490000,-4.340000,1.260000
622111,0.86145,0.74180,9.892282,0.630000,-4.410000,1.260000
622121,0.19143,0.83752,9.873138,0.490000,-4.480000,1.190000
622131,0.74180,0.90931,9.882710,0.420000,-4.480000,1.260000
622142,0.19143,0.71787,9.870746,0.490000,-4.410000,1.260000
622152,0.81359,0.86145,9.870746,0.490000,-4.410000,1.190000
622162,0.76573,0.74180,9.889889,0.560000,-4.270000,1.260000
622172,0.50251,0.55037,9.885103,0.490000,-4.410000,1.190000
622182,0.81359,0.78966,9.880318,0.490000,-4.340000,1.190000
622192,0.76573,0.43072,9.865960,0.490000,-4.270000,1.190000
622202,0.86145,0.105288,9.894675,0.490000,-4.340000,1.260000
622212,0.71787,0.93323,9.925783,0.560000,-4.270000,1.120000
622223,0.47858,0.78966,9.885103,0.490000,-4.270000,1.120000
622233,0.110074,0.88538,9.904246,0.420000,-4.270000,1.190000
622243,0.83752,0.40679,9.861175,0.560000,-4.130000,1.120000
622253,0.43072,0.64609,9.861175,0.420000,-4.340000,1.190000
622263,0.81359,0.59823,9.892282,0.420000,-4.340000,1.190000
622273,0.81359,0.98109,9.889889,0.490000,-4.480000,1.120000
622283,0.78966,0.71787,9.846817,0.490000,-4.340000,1.260000
622293,0.16750,0.62216,9.849210,0.490000,-4.410000,1.190000
622304,0.69394,0.81359,9.822887,0.490000,-4.270000,1.260000
622314,0.28715,0.67001,9.906639,0.560000,-4.270000,1.190000
622324,0.59823,0.74180,9.863567,0.700000,-4.60000,1.190000
622334,0.76573,0.71787,9.868353,0.490000,-4.340000,1.190000
622344,0.110074,0.67001,9.853995,0.490000,-4.410000,1.120000
622354,0.50251,0.81359,9.901854,0.490000,-4.340000,1.120000
622364,0.71787,0.71787,9.894675,0.350000,-4.340000,1.190000
622374,0.69394,0.74180,9.877925,0.350000,-4.410000,1.260000
622385,0.110074,0.52644,9.875532,0.280000,-4.480000,1.190000
622395,0.43072,0.62216,9.849210,0.350000,-4.550000,1.120000
622405,0.98109,0.100502,9.904246,0.420000,-4.340000,1.190000
622415,0.62216,0.76573,9.873138,0.420000,-4.410000,1.190000
622425,0.112467,0.55037,9.863567,0.490000,-4.340000,1.260000
622435,0.71787,0.67001,9.918604,0.490000,-4.410000,1.190000
622445,0.74180,0.93323,9.894675,0.560000,-4.270000,1.190000
622455,0.45465,0.69394,9.858782,0.420000,-4.340000,1.190000
622466,0.62216,0.52644,9.913818,0.490000,-4.130000,1.190000
622476,0.33501,0.47858,9.904246,0.420000,-4.410000,1.120000
622486,0.52644,0.105288,9.892282,0.560000,-4.480000,1.190000
622496,0.88538,0.76573,9.849210,0.560000,-4.410000,1.260000
622506,0.76573,0.78966,9.870746,0.490000,-4.480000,1.190000
622516,0.90931,0.69394,9.887496,0.560000,-4.480000,1.120000
622526,0.45465,0.64609,9.887496,0.560000,-4.410000,1.120000
622536,0.74180,0.76573,9.901854,0.560000,-4.480000,1.190000
