Timestamp,MagnX,MagnY,MagnZ
,-76.988,-84.444,-109.78
,-77.566,-85.169,-112.007
,-79.037,-83.327,-111.951
,-78.096,-85.604,-111.66
,-79.865,-85.066,-113.936
,-80.425,-86.827,-114.104
7744.0,-83.095,-90.684,-119.817
,-85.117,-90.401,-124.66
,-81.798,-93.603,-123.567
,-83.534,-93.058,-124.861
,-84.543,-93.436,-126.463
,-84.431,-93.972,-125.438
,-83.62,-94.676,-128.231
,-83.569,-94.666,-126.688
7820.0,-82.165,-94.362,-125.662
,-82.922,-95.045,-127.04
,-83.009,-96.943,-131.581
,-83.394,-97.147,-131.895
,-82.339,-97.878,-133.574
,-85.93,-94.655,-136.623
,-83.863,-96.607,-137.404
,-84.913,-99.914,-140.646
7896.0,-83.537,-98.576,-141.96
,-83.494,-97.806,-143.366
,-84.568,-96.878,-147.26
,-84.312,-99.062,-148.911
,-84.283,-101.495,-152.286
,-82.987,-96.695,-153.266
,-82.65,-96.3,-159.367
,-86.094,-91.804,-164.575
7972.0,-83.92,-89.293,-167.088
,-82.675,-88.184,-167.32
,-83.406,-86.501,-169.821
,-84.894,-82.303,-172.15
